0,1,10,0,0,0,0,0,0,0,7,0,0,0,0,0
0,0,2,0,0,0,0,12,1,15,0,0,0,5,0,0
13,0,0,0,0,15,0,0,0,5,10,0,0,0,16,0
0,11,8,0,1,3,6,0,14,0,0,0,0,15,0,0
9,0,0,0,0,2,0,0,12,0,0,0,0,0,0,3
0,0,15,1,0,0,3,0,0,0,0,0,12,0,0,13
4,0,0,3,0,0,12,0,0,10,0,16,8,0,0,0
0,14,0,0,0,0,0,0,4,1,0,3,5,0,0,15
0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,9,0,0,10,0,0,5,0,0,0,16
0,16,13,0,11,1,5,0,0,3,0,6,4,0,7,2
7,0,0,0,15,0,0,0,0,4,2,0,9,0,6,1
0,4,3,0,5,0,0,7,0,0,0,0,15,0,13,0
0,8,7,0,0,0,0,2,0,0,16,0,0,12,0,0
11,0,0,0,13,0,16,15,0,8,0,2,7,0,0,0
15,0,0,12,14,10,0,0,0,0,5,0,0,0,1,0
2,10,12,0,0,0,0,0,0,9,0,0,0,0,11,7
0,14,8,11,0,2,0,0,0,13,0,0,1,0,3,16
0,9,3,0,6,0,0,12,0,0,7,0,5,0,0,0
13,0,0,0,0,0,0,0,0,1,8,0,0,0,15,0
0,0,0,6,2,0,12,3,0,0,0,16,0,0,0,8
5,0,0,0,9,4,0,16,15,0,13,0,0,1,0,0
0,0,0,0,0,0,13,7,3,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,4,5,0,0,0,0,0
0,0,0,8,3,0,0,2,13,0,11,6,0,0,0,0
0,0,0,0,0,0,6,0,0,0,14,12,0,0,1,3
0,0,0,3,0,0,14,0,0,0,0,0,12,11,10,0
0,0,0,1,0,11,10,0,0,0,0,0,0,0,4,2
0,2,1,5,0,8,0,0,0,11,10,0,16,0,0,9
7,0,10,0,0,0,0,0,0,0,0,14,0,0,12,0
12,0,4,13,0,16,15,0,0,0,0,0,0,7,6,0
0,16,0,0,0,0,11,10,0,0,6,5,4,0,0,0
