10,14,15,8,5,6,4,16,3,7,11,1,13,12,9,2
5,1,2,4,10,9,12,3,13,14,6,15,7,11,16,8
16,9,11,12,8,14,7,13,2,10,4,5,6,15,3,1
3,6,13,7,2,11,1,15,9,8,16,12,10,14,4,5
12,5,8,11,9,4,3,2,6,15,14,13,1,7,10,16
4,3,14,15,7,10,6,11,5,1,12,16,8,13,2,9
9,10,1,16,13,15,5,14,8,2,3,7,12,6,11,4
13,2,7,6,12,1,16,8,4,9,10,11,14,5,15,3
14,15,6,3,4,7,2,10,12,11,5,9,16,1,8,13
8,7,12,9,14,3,11,1,16,13,2,4,5,10,6,15
1,16,4,13,6,12,8,5,7,3,15,10,9,2,14,11
2,11,10,5,16,13,15,9,1,6,8,14,4,3,7,12
6,4,3,2,1,5,10,7,11,12,9,8,15,16,13,14
7,8,5,1,3,2,14,4,15,16,13,6,11,9,12,10
11,12,9,14,15,16,13,6,10,4,1,2,3,8,5,7
15,13,16,10,11,8,9,12,14,5,7,3,2,4,1,6
13,2,8,16,7,5,15,6,1,12,3,11,9,10,4,14
3,5,12,6,14,1,4,11,2,10,9,8,15,13,7,16
10,4,7,11,9,16,12,2,15,5,13,14,1,6,8,3
14,9,1,15,10,13,8,3,7,6,4,16,5,2,11,12
5,1,11,12,2,6,16,15,3,14,8,4,10,9,13,7
7,10,16,2,3,14,1,4,9,13,11,12,6,5,15,8
6,13,4,3,5,9,7,8,10,16,15,2,14,1,12,11
15,14,9,8,11,10,13,12,6,1,7,5,2,16,3,4
2,6,3,4,1,8,5,7,11,9,12,10,13,14,16,15
1,8,5,7,6,2,3,14,13,4,16,15,11,12,9,10
11,12,13,10,15,4,9,16,14,2,1,3,7,8,5,6
16,15,14,9,12,11,10,13,5,8,6,7,3,4,1,2
4,3,2,1,8,7,6,5,12,11,10,9,16,15,14,13
8,7,6,5,4,3,2,1,16,15,14,13,12,11,10,9
12,11,10,13,16,15,14,9,4,3,2,1,8,7,6,5
9,16,15,14,13,12,11,10,8,7,5,6,4,3,2,1
